Section ID,Section,HS2 ID,HS2,PCI,Australia' Exports,United States' Exports
1,Animal Products,02,Meat & edible offal,-0.22495328740999998,2351887136,193985825.00000003
14,Precious Metals,71,"Precious stones, metals, & pearls",-0.5237165150030304,1287736961,992971028.9999999
18,Instruments,90,"Optical, photo, & film equipment; medical instruments",0.8729044187943396,880088290,2757430743
6,Chemical Products,30,Pharmaceutical products,0.43939485209130424,836187289,1870313541
16,Machines,84,"Machinery, mechanical appliances, & parts",0.7086559576920003,661059595,5446186669
15,Metals,72,Iron & steel,0.12832382180254237,469381320,44879668
17,Transportation,88,Aircraft and Spacecraft,-0.22315077699999994,384517756,1445811461
16,Machines,85,Electrical machinery and electronics,0.5447194005353847,382205723,2299133672
4,Foodstuffs,22,"Beverages, spirits, & vinegar",-0.6857993432055555,379152851,193661716
15,Metals,76,Aluminum articles,-0.1132470834846154,370615267,70106203
6,Chemical Products,31,Fertilizers,-0.8535339046894739,238906281,154510458
5,Mineral Products,26,"Ores, slag and ash",-1.6678211307523807,225071355,158770221.00000003
17,Transportation,89,"Ships, boats, & floating structures",-0.7976110958066668,188747708,77008874
15,Metals,75,Nickel articles,0.3235207595818182,173915660,10658195
2,Vegetable Products,11,Products of the milling industry,-0.615476107918182,170764475,19124874
17,Transportation,87,"Cars, tractors, trucks & parts thereof.",0.49754764504264737,143905657,3418502361
3,Animal and Vegetable Bi-Products,15,"Animal or vegetable fats, oils, & waxes",-1.0610727104166666,137480800,25503756
10,Paper Goods,48,Paper articles,0.1502759217263158,133733499,129345813
15,Metals,78,Lead articles,-1.49946300145,114732902,513794
6,Chemical Products,28,Inorganic chemicals,-0.032112228062499984,107831619,130477249
6,Chemical Products,33,Perfumery & cosmetics,-0.03664785517272722,102094734,530180724
7,Plastics and Rubbers,39,Plastics & articles thereof,0.49359724437009345,94642198,600605117
1,Animal Products,03,"Fish, Crustaceans & Molluscs",-1.285063886022222,89203897,14581259
1,Animal Products,05,"Animal originated products, n.e.s.",-0.49533142208000003,86118145.99999999,28288406
15,Metals,73,Iron/Steel Articles,0.27290160071910113,75999637,335157053
15,Metals,74,Copper articles,0.007763692519444556,72828063,12489784
4,Foodstuffs,21,Miscellaneous edible preparations,-0.36999867446666673,71536748,277874283
6,Chemical Products,35,"Glues, starches, & albuminoid products",0.40096580712999996,65004567,57709205
4,Foodstuffs,17,Sugars & confectioneries,-0.9144229700777777,62346205,32828430
6,Chemical Products,38,Chemical products n.e.s.,0.5106336805944445,61420142,705178945
