Section ID,Section,HS2 ID,HS2,PCI,Australia' Exports,United States' Exports
1,Animal Products,02,Meat & edible offal,-0.19050936964482754,2538860502,108206358
14,Precious Metals,71,"Precious stones, metals, & pearls",-0.5414924105941176,1454121888.9999998,1140281726
18,Instruments,90,"Optical, photo, & film equipment; medical instruments",0.8849469017028303,1024917236,2721647636
6,Chemical Products,30,Pharmaceutical products,0.5690867476,963416216,2594573973
16,Machines,84,"Machinery, mechanical appliances, & parts",0.7250931256974713,785832470,6386466922
15,Metals,76,Aluminum articles,-0.14693030662222228,779604525,72180829
15,Metals,72,Iron & steel,0.1251961039280992,625887412,45448020
16,Machines,85,Electrical machinery and electronics,0.5403693555112246,490945156,2477019043
3,Animal and Vegetable Bi-Products,15,"Animal or vegetable fats, oils, & waxes",-0.9521837895,489114450,41849405
4,Foodstuffs,22,"Beverages, spirits, & vinegar",-0.6040454758777778,403057669,252046480
15,Metals,75,Nickel articles,0.3425653276,319728985,19642792
5,Mineral Products,26,"Ores, slag and ash",-1.636617546217392,302128531,44558280.99999999
17,Transportation,88,Aircraft and Spacecraft,-0.16365680924545453,293122549,1625309001
15,Metals,78,Lead articles,-1.508382717525,254525386,971670
2,Vegetable Products,11,Products of the milling industry,-0.5321826392785715,252372686,28723025
15,Metals,79,Zinc articles,-0.37593052986666664,242241960,1472256
6,Chemical Products,31,Fertilizers,-0.8934428129714286,185838662,276397412
7,Plastics and Rubbers,39,Plastics & articles thereof,0.46113880492149506,151316237,1047914588
6,Chemical Products,28,Inorganic chemicals,-0.05021815635217392,149753441,331210052
17,Transportation,87,"Cars, tractors, trucks & parts thereof.",0.5156686646397057,136179431,3949650582
1,Animal Products,05,"Animal originated products, n.e.s.",-0.4383281824,113666576,33635085
10,Paper Goods,48,Paper articles,0.1442293889526316,111579461,139988726
15,Metals,73,Iron/Steel Articles,0.2812359426898877,108021975,365818989
2,Vegetable Products,12,"Oils seeds, oleaginous fruits, grains, straw & fodder",-1.1326026272333332,99553898,57395937
4,Foodstuffs,17,Sugars & confectioneries,-0.8460459743600002,98899336,40124473
6,Chemical Products,35,"Glues, starches, & albuminoid products",0.38741360489,98490130,73719025
17,Transportation,89,"Ships, boats, & floating structures",-0.8036399645133334,97256167,109228258
1,Animal Products,03,"Fish, Crustaceans & Molluscs",-1.2608592588558825,96809863,18020801
5,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation",-0.8779816656999998,91280570.00000001,1578708304
6,Chemical Products,33,Perfumery & cosmetics,0.09413519320000002,84226972,601586916
4,Foodstuffs,23,Food residues & wastes; animal fodder,-0.7910590425466668,68864477,194995144
15,Metals,74,Copper articles,0.03353205301842103,67866085,13899069
4,Foodstuffs,21,Miscellaneous edible preparations,-0.26723218513333336,67157013,296028598
5,Mineral Products,25,"Salt, sulphur, cement, lime, stone, & plaster",-1.1372787400749997,60845730,26341999
6,Chemical Products,32,"Paints, dyes, & varnishes",0.3924410979241379,59737811.00000001,105406129
6,Chemical Products,29,Organic chemicals,0.7412499368477986,52161687,199836006
20,Miscellaneous,94,"Furniture, bedding, lamps, & prefab buildings",-0.04644418998571429,49545618,167250489
20,Miscellaneous,95,"Toys, games, & sports",0.04874881280500003,42231528,205918235
