Section ID,Section,HS2 ID,HS2,PCI,Australia' Exports,United States' Exports
1,Animal Products,02,Meat & edible offal,-0.1529562904896552,2123576655,199285731
6,Chemical Products,30,Pharmaceutical products,0.3268673624,890237041,1791804402
18,Instruments,90,"Optical, photo, & film equipment; medical instruments",0.8732237663145632,733239346,2704901689
17,Transportation,88,Aircraft and Spacecraft,0.10628141850909088,573181859,969588021
16,Machines,84,"Machinery, mechanical appliances, & parts",0.7170231961106021,515398874,5204498646
15,Metals,72,Iron & steel,0.22133566008898306,455704843,24540588
4,Foodstuffs,22,"Beverages, spirits, & vinegar",-0.7942656214176471,413261360,174878214
15,Metals,76,Aluminum articles,-0.10390210247600003,377392308,66163006
15,Metals,75,Nickel articles,0.2583256869,377272463,20684333
16,Machines,85,Electrical machinery and electronics,0.49781137577213963,291428773,2236639295
14,Precious Metals,71,"Precious stones, metals, & pearls",-0.5204311058090908,259868908,195519636
5,Mineral Products,26,"Ores, slag and ash",-1.5760434928909086,257410607,196929887
6,Chemical Products,28,Inorganic chemicals,0.030586154049122793,215062173,453476165
10,Paper Goods,48,Paper articles,0.1150926177766667,197351456,132214261
2,Vegetable Products,11,Products of the milling industry,-0.5546980065099999,183389504,21642345
17,Transportation,87,"Cars, tractors, trucks & parts thereof.",0.5610314489338233,178410586,3266148683
4,Foodstuffs,23,Food residues & wastes; animal fodder,-0.7354960273307692,95788254,128647311
6,Chemical Products,33,Perfumery & cosmetics,-0.0017648145142857001,85387367,529395284
1,Animal Products,05,"Animal originated products, n.e.s.",-0.38514035557500004,76323234,34694742
10,Paper Goods,49,"Books, newspapers, & other prints",0.28857330575,66688717.99999999,169655609
15,Metals,74,Copper articles,0.022362943467742126,65217976,12095207
17,Transportation,89,"Ships, boats, & floating structures",-0.6081311428785714,62768014,100003874
4,Foodstuffs,21,Miscellaneous edible preparations,-0.33123193864999995,62156328.00000001,261011365
15,Metals,73,Iron/Steel Articles,0.32045412848953503,59831023,345266388
6,Chemical Products,29,Organic chemicals,0.7847635224351355,57614885,216783311
